estrategia,sharpe_media,retorno_anualizado_media,retorno_total_media,max_drawdown_media,turnover_total_media,turnover_medio_diario_media,sharpe_std,retorno_anualizado_std,retorno_total_std,max_drawdown_std,turnover_total_std,turnover_medio_diario_std
RL (PPO),0.6758432699887195,0.24307220979216465,1.3968175024144318,-0.5704652557187047,362.12936955962175,0.25112993728129107,0.10325509719075605,0.0690948518065231,0.5391655934617493,0.07088660689323309,207.90330008242015,0.14417704582692104
Asignador aleatorio,0.32222207816543547,0.0427456599956584,0.21378623541580827,-0.6207751838369505,642.9802749673275,0.4458947815307403,0.17179317720687728,0.08323248001443792,0.3505307689190062,0.02929437886931907,8.910708674597526,0.006179409621773605
buy_hold_equiponderado,0.6550014061307827,0.23211781080246507,1.2810689921185392,-0.6200129544413282,1.0,0.0006934812760055479,0.0,0.0,0.0,0.0,0.0,0.0
buy_hold_btc,0.852700342676999,0.33839077873290724,2.162927934475927,-0.5297176574912453,1.0,0.0006934812760055479,0.0,0.0,0.0,0.0,0.0,0.0
vol_targeting,0.6018251999449038,0.10597193549228434,0.4887411171086462,-0.23430911100266816,91.83398680317403,0.06368515034894176,0.0,0.0,0.0,0.0,0.0,0.0
