timestamp,open,high,low,close,volume
2017-01-01 00:00:00+00:00,997.257357977791,997.257357977791,997.257357977791,997.257357977791,
2017-01-02 00:00:00+00:00,1017.07788609001,1017.07788609001,1017.07788609001,1017.07788609001,
2017-01-03 00:00:00+00:00,1032.60905318527,1032.60905318527,1032.60905318527,1032.60905318527,
2017-01-04 00:00:00+00:00,1134.49644535359,1134.49644535359,1134.49644535359,1134.49644535359,
2017-01-05 00:00:00+00:00,1000.49812893045,1000.49812893045,1000.49812893045,1000.49812893045,
2017-01-06 00:00:00+00:00,892.463955639977,892.463955639977,892.463955639977,892.463955639977,
2017-01-07 00:00:00+00:00,903.453283635301,903.453283635301,903.453283635301,903.453283635301,
2017-01-08 00:00:00+00:00,912.484997077732,912.484997077732,912.484997077732,912.484997077732,
2017-01-09 00:00:00+00:00,903.508666803039,903.508666803039,903.508666803039,903.508666803039,
2017-01-10 00:00:00+00:00,906.498947399182,906.498947399182,906.498947399182,906.498947399182,
2017-01-11 00:00:00+00:00,788.314655990649,788.314655990649,788.314655990649,788.314655990649,
2017-01-12 00:00:00+00:00,807.109833547633,807.109833547633,807.109833547633,807.109833547633,
2017-01-13 00:00:00+00:00,826.746927410871,826.746927410871,826.746927410871,826.746927410871,
2017-01-14 00:00:00+00:00,820.045157276447,820.045157276447,820.045157276447,820.045157276447,
2017-01-15 00:00:00+00:00,824.547065166569,824.547065166569,824.547065166569,824.547065166569,
2017-01-16 00:00:00+00:00,830.838035067212,830.838035067212,830.838035067212,830.838035067212,
2017-01-17 00:00:00+00:00,906.026828112215,906.026828112215,906.026828112215,906.026828112215,
2017-01-18 00:00:00+00:00,881.259815371128,881.259815371128,881.259815371128,881.259815371128,
2017-01-19 00:00:00+00:00,902.263869959088,902.263869959088,902.263869959088,902.263869959088,
2017-01-20 00:00:00+00:00,895.174516189363,895.174516189363,895.174516189363,895.174516189363,
2017-01-21 00:00:00+00:00,924.46825949737,924.46825949737,924.46825949737,924.46825949737,
2017-01-22 00:00:00+00:00,922.467077381648,922.467077381648,922.467077381648,922.467077381648,
2017-01-23 00:00:00+00:00,919.115744126242,919.115744126242,919.115744126242,919.115744126242,
2017-01-24 00:00:00+00:00,887.743193804792,887.743193804792,887.743193804792,887.743193804792,
2017-01-25 00:00:00+00:00,895.690033255406,895.690033255406,895.690033255406,895.690033255406,
2017-01-26 00:00:00+00:00,916.6674685564,916.6674685564,916.6674685564,916.6674685564,
2017-01-27 00:00:00+00:00,920.454463471654,920.454463471654,920.454463471654,920.454463471654,
2017-01-28 00:00:00+00:00,922.774948568089,922.774948568089,922.774948568089,922.774948568089,
2017-01-29 00:00:00+00:00,915.63202314436,915.63202314436,915.63202314436,915.63202314436,
2017-01-30 00:00:00+00:00,920.313260783168,920.313260783168,920.313260783168,920.313260783168,
2017-01-31 00:00:00+00:00,968.499105669199,968.499105669199,968.499105669199,968.499105669199,
